pmid,age_min,age_max,males_in_study,females_in_study
19487623,5,17,128,21
8911223,18,200,,
16275814,5,14,59,7
31638682,,,124,22
27556593,6,17,45,15
35793101,5,17,139,28
31063671,6,17,48,13
7174605,2,8,,
7559293,7,11,6,4
2663834,2,8,,
2745390,,,,
22782459,5,11,25,15
18080171,8,18,,
30980177,3,12,46,18
17929164,3,11,30,10
22392415,4,12,39,8
23801256,4,18,48,11
28004215,6,17,75,17
33029705,,,35,20
16119478,3,8,15,4
20204691,3,8,43,0
20683766,3,8,,
23212807,5,17,,
26659550,6,17,121,29
29644582,1,18,7,1
34181143,6,15,121,75
23821414,5,17,82,19
22342106,3,10,31,2
32289673,16,35,28,12
22721596,6,17,,
26506581,5,14,,
29096777,2,17,92,33
32730977,7,15,63,29
26746121,2,6,137,29
30744880,2,8,100,17
25451017,,,,
19772883,4,12,,
20637249,4,12,27,13
26361994,,,,
36654288,3,6,100,19
7069079,7,35,26,4
16316486,,,,
22999292,4,12,23,17
11055460,5,12,10,3
11450816,3,11,27,1
27752075,,,39,9
20010551,5,15,23,4
27748740,5,21,124,26
29955161,18,48,,
35241779,5,17,,
15602505,5,16,,
23233021,3,11,53,7
25313065,13,27,44,0
28696286,6,12,27,5
16190799,6,20,20,10
17069543,6,14,,
18582177,5,18,29,9
21309696,8,17,,
22537359,4,12,17,3
23782128,7,13,19,5
23782126,3,7,38,8
26978327,6,12,101,20
28346865,16,35,,
30132686,2,17,92,33
31478755,3,12,6,4
34543081,6,12,,
24451919,10,17,54,0
8282676,2,8,,
17012983,5,17,17,3
19797985,6,17,,
25580916,4,12,,
31725473,,,,
32168067,,,,
32947424,,,,
29430839,,,31,12
31714621,,,50,12
22993294,6,39,55,8
31043522,6,12,25,25
25530675,5,8,20,0
34257640,2,6,30,10
22193531,18,60,26,11
26315981,5,14,53,9
8369641,,,,
31744385,6,14,,
24132248,4,12,,
23886027,3,16,25,15
23216716,,,16,3
32316911,,,28,2
31969977,,,40,0
33536055,5,21,,
30071894,4,11,31,10
21629200,3,10,23,4
19948625,6,17,86,12
31780970,2,6,46,12
33101079,18,72,71,9
30979038,7,15,80,0
34062986,3,20,26,9
24502859,6,17,68,17
,5,21,124,26
27316706,3,10,79,19
,3,10,20,10
,,,,
30980177,3,12,46,18
23821414,5,12,33,7
25451017,,,,
,3,8,21,3
